timestamp,P2
31:54.7,15.38
36:55.2,14.7
41:56.0,14.98
46:56.1,16
51:56.2,16.12
56:55.9,15.18
01:55.5,18.5
06:55.5,14.23
11:55.8,13.4
16:55.6,15.7
21:55.4,16.58
26:55.2,16
31:55.4,13.77
36:56.0,14.38
41:56.0,13.43
46:55.9,13.88
51:56.6,14.23
56:56.8,16.08
01:57.5,16.1
06:57.7,16.5
11:58.6,14.8
16:58.4,14.25
21:59.2,19.2
26:59.3,18
32:00.7,19.62
37:01.7,18.23
42:01.9,16.73
47:01.8,14.93
52:01.6,15.52
57:00.8,14.15
02:01.5,21.52
07:02.3,13
12:02.3,15.77
17:02.0,47.58
22:03.5,32.35
27:03.2,14.38
32:03.8,13.3
37:03.7,19.58
42:03.8,11
47:03.9,10.25
52:03.1,16.55
57:03.1,10.15
02:02.3,10.73
07:01.8,13.57
12:02.2,13.23
17:03.4,13.45
22:02.5,9
27:02.3,10.23
32:02.9,8.93
37:02.4,10.32
42:02.1,9.15
47:03.1,8.8
52:03.8,8.38
57:04.9,9.88
02:05.1,9.3
07:06.2,9.9
12:06.1,8.93
17:07.6,8.55
22:07.9,9.6
27:09.7,9.65
32:10.1,8.82
37:12.0,8.55
42:12.8,10.27
47:12.8,10.23
52:12.9,10.68
57:12.5,9.55
02:13.3,8.98
07:13.3,14.85
12:17.3,16.45
17:17.7,12.98
22:18.7,12.02
27:19.3,9.77
32:19.5,9.63
37:19.8,9.18
42:20.9,9.82
47:20.8,10.55
52:20.8,9.02
57:21.8,12.93
39:46.0,22.05
44:45.2,13.3
49:45.9,20.98
54:45.0,15.93
59:44.9,21.5
04:44.7,19.5
09:45.9,26.1
14:45.2,17.15
19:44.2,15.23
24:44.3,12.2
29:45.9,12.52
34:45.7,12.93
39:45.4,12.25
44:46.1,13.48
49:45.9,13.82
54:46.0,13.2
59:45.3,11.8
04:45.3,16.1
09:45.2,13.45
14:44.4,14.8
19:44.1,15.77
24:44.2,13.75
29:44.8,12.77
34:44.9,9.25
39:45.2,9.5
44:45.2,9.13
49:46.7,9.3
54:46.5,9.38
59:46.0,11.02
04:46.1,10.02
09:47.3,8.3
14:48.1,8.63
19:49.0,10.8
24:49.6,9.15
29:49.8,8.45
34:50.7,8.6
39:49.8,9.25
44:49.2,8.13
49:49.4,7.87
54:49.8,8.1
59:50.0,8.77
04:50.9,9.25
09:51.5,9.07
14:51.1,8.3
19:51.6,8.67
24:51.1,9.48
29:52.4,8.52
34:52.0,8.1
39:51.8,8.63
44:51.5,9.27
49:51.5,9.23
54:53.1,10.5
59:53.6,9.98
04:54.7,10.6
09:54.6,10.1
14:54.3,9.8
19:54.3,9.65
24:54.6,9.4
29:54.1,8.8
34:54.7,8.07
39:56.1,8.4
44:56.2,8.5
49:56.8,7.63
54:57.8,6.9
59:59.0,6.82
04:59.6,7.4
10:00.2,7.4
15:01.1,6.7
20:02.0,7.83
25:02.3,7.55
30:01.7,5.9
35:01.6,5.33
40:01.5,5.87
45:02.4,5.47
50:01.4,5.5
55:00.7,6.63
00:01.2,6.4
05:01.6,5.77
10:02.3,4
15:03.4,4.9
20:04.2,4.83
25:05.3,4.6
30:05.9,5.47
35:05.5,5.27
40:05.1,6.4
45:05.1,5.37
50:06.7,4.77
55:06.5,4.97
00:06.8,4.7
05:07.3,4.97
10:07.6,4.87
15:07.4,4.4
20:08.2,4.5
25:09.8,5.2
30:10.0,5
35:10.3,5.03
40:10.9,5.87
45:11.6,5.47
50:11.7,5.13
55:11.9,6.1
00:12.5,5.3
05:13.5,5.1
10:13.5,5.7
15:13.9,6.13
20:14.7,7.57
25:14.6,7.67
30:15.1,8.3
35:15.6,8.63
40:16.4,11.33
45:17.1,12.13
50:17.1,18.47
55:18.6,20.5
00:19.5,22.1
05:19.6,18.17
10:18.7,16.53
15:18.8,9.57
20:18.9,9.83
25:18.7,14.3
30:17.5,13.3
35:17.5,10.9
40:18.2,10.5
45:19.4,8.37
50:19.5,6.03
55:20.1,7.57
00:21.9,7.3
05:21.4,9.1
10:22.8,10.47
15:22.9,12.8
20:22.6,13.7
25:22.3,16.4
30:21.9,18.03
35:22.2,19
40:21.5,16.47
45:21.8,14.17
50:22.5,13.73
55:23.1,12.97
00:23.3,9.6
05:23.3,9.03
10:24.2,10
15:24.5,11.03
20:25.4,10.47
25:24.4,8.77
30:23.4,8.97
35:22.9,8.2
40:22.9,7.33
45:21.9,7.07
50:21.7,5.8
55:21.5,5.9
00:20.8,5.47
05:20.6,7.8
10:19.6,6.4
15:18.8,5.9
20:18.7,6.6
25:18.8,6.9
30:17.9,6.57
35:17.8,5.93
40:17.0,6.83
45:16.1,8.23
50:16.5,8.63
55:17.3,9
00:18.5,8.8
05:17.9,8.87
10:17.6,9.6
15:16.8,10.3
20:16.6,11.2
25:15.8,8.33
30:15.3,9.63
35:15.6,12.57
40:15.8,13.33
45:15.6,10.53
50:16.2,9.6
55:17.0,10.3
00:17.2,11.53
05:17.0,10.43
10:15.9,10.73
15:16.2,11.07
20:16.5,12.97
25:15.5,9.37
30:15.4,9.1
35:14.6,10.37
40:13.6,9.83
45:12.7,10.87
50:11.7,11.13
55:10.1,12.83
00:09.1,18.33
05:07.6,18.45
10:07.8,15.43
15:07.0,14.65
20:08.3,17.67
25:07.5,16.9
30:07.7,18.85
35:08.2,21.35
40:07.3,19.67
45:06.4,24.77
50:05.5,27.37
55:04.7,25.05
00:04.8,24.93
05:05.1,24.6
10:05.0,24.27
15:06.1,27.67
20:04.9,29.97
25:04.9,26.17
30:06.3,28.48
35:08.3,28.65
40:08.9,27.92
45:09.4,23.8
50:09.6,24.1
55:10.8,22.13
00:10.7,17.15
05:10.5,17.75
10:09.6,23
15:09.7,23.08
20:08.7,20.9
25:07.4,16.98
30:07.8,15.18
35:06.8,15.07
40:06.2,17.98
45:05.9,14.77
50:05.4,14.7
55:05.1,16.5
00:04.9,14.95
05:04.8,16.42
10:04.3,16.3
15:03.3,17.92
20:02.4,18.3
25:01.7,18.85
30:00.4,17.6
35:00.4,19.62
39:59.9,16.62
45:00.5,19.98
50:00.3,18.85
55:00.8,18.35
00:01.4,16.48
05:00.6,18.52
09:59.8,13.18
14:59.4,22.42
19:58.4,16.25
24:58.9,14.27
29:59.9,16.27
35:01.7,14.8
40:01.4,12.95
45:01.9,15.52
50:01.4,14.5
55:00.6,11.75
00:00.8,11.23
05:01.0,12.5
10:00.1,12.95
14:59.1,11.52
19:58.3,12.45
24:56.9,14.65
29:58.2,15.68
34:59.1,14.52
39:59.5,12.05
45:00.9,11.25
50:00.9,10.7
54:59.9,11.98
59:58.9,12.05
04:58.8,13.75
09:57.2,12.52
14:56.3,11.68
19:54.9,11.15
24:54.8,10.95
29:53.9,11.73
34:53.0,10.9
39:53.0,8.73
44:52.2,9.73
49:51.5,9.48
54:50.6,10.93
59:50.3,11.75
04:49.5,11.27
09:48.6,12.35
14:48.5,12.48
19:47.7,9.32
24:47.3,10.15
29:46.4,11.98
34:46.2,11.4
39:46.0,10.8
44:45.2,9.15
49:44.2,10.82
54:44.1,9.82
59:42.4,10.13
04:41.6,12.13
09:41.7,10.85
14:40.8,9.35
19:39.8,10.88
24:38.8,9.73
29:38.8,9.45
34:37.9,11.12
39:38.4,11.5
44:38.1,11.68
49:36.5,10.43
54:35.7,9.6
59:35.5,9.7
04:35.3,16.12
09:35.8,13.6
14:35.0,11.95
19:34.0,16.75
24:33.0,14.23
29:32.1,12.95
34:32.4,13.13
39:33.6,16.8
44:33.7,17.8
49:32.8,17.3
54:32.1,12.6
59:32.3,12.95
04:31.6,16.05
09:29.9,20.5
14:29.0,18.8
19:28.1,26.52
24:27.1,19.1
29:26.3,17.87
34:25.4,18.58
39:24.5,18.67
44:24.5,20.5
49:23.5,16.7
54:23.6,17.7
59:23.0,16.4
04:23.8,14.7
09:23.0,16.33
14:21.4,17.93
19:20.6,17.27
24:20.0,17.43
29:19.3,25.9
34:29.6,19.9
39:29.4,19.27
44:30.1,20.03
49:29.6,21.07
54:29.3,22.87
